Accompanist Pager Layouts,0.36.0,license_apache20,Apache 2.0
Activity Compose,1.9.3,license_apache20,Apache 2.0
AndroidX Security,1.0.0,license_apache20,Apache 2.0
APKUpdater-Library,v2.1.0,license_apkupdater,MIT License
AppCompat,1.7.0,license_apache20,Apache 2.0
Biometric,1.1.0,license_apache20,Apache 2.0
Coil Compose,2.7.0,license_coilcompose,Apache 2.0
Compose Graphics,1.7.8,license_apache20,Apache 2.0
Compose Material3 Components,1.3.1,license_apache20,Apache 2.0
Compose Tooling,1.7.8,license_apache20,Apache 2.0
Compose UI,1.7.8,license_apache20,Apache 2.0
Compose UI Preview Tooling,1.7.8,license_apache20,Apache 2.0
ConstraintLayout,2.2.1,license_apache20,Apache 2.0
Flexbox Layout,3.0.0,license_apache20,Apache 2.0
Gson,2.11.0,license_apache20,Apache 2.0
Jetpack Compose Libraries BOM,2025.02.00,license_apache20,Apache 2.0
Lifecycle ViewModel Compose,2.8.7,license_apache20,Apache 2.0
Lifecycle ViewModel Kotlin Extensions,2.8.7,license_apache20,Apache 2.0
Material Components For Android,1.12.0,license_apache20,Apache 2.0
SplashScreen,1.0.1,license_apache20,Apache 2.0
